5,Spezzatino   di manzo,Salmone   al forno,Crocchette   di patate,Baccalà   in umido,Zuppa di   ceci,Polpette   di melanzane,Penne al   baffo,Insalata   tiepida di polpo e patate,Pasta   allo scarpariello,Melanzane   al forno
5,Pasta   allo scarpariello,Spezzatino   di manzo,Penne al   baffo,Salmone   al forno,Polpette   di melanzane,Insalata   tiepida di polpo e patate,Baccalà   in umido,Crocchette   di patate,Zuppa di   ceci,Melanzane   al forno
5,Insalata   tiepida di polpo e patate,Crocchette   di patate,Spezzatino   di manzo,Salmone   al forno,Melanzane   al forno,Pasta   allo scarpariello,Penne al   baffo,Polpette   di melanzane,Zuppa di   ceci,Baccalà   in umido
5,Spezzatino   di manzo,Penne al   baffo,Crocchette   di patate,Insalata   tiepida di polpo e patate,Zuppa di   ceci,Baccalà   in umido,Salmone   al forno,Polpette   di melanzane,Melanzane   al forno,Pasta   allo scarpariello
5,Crocchette   di patate,Zuppa di   ceci,Salmone   al forno,Melanzane   al forno,Penne al   baffo,Polpette   di melanzane,Spezzatino   di manzo,Baccalà   in umido,Insalata   tiepida di polpo e patate,Pasta   allo scarpariello
6,Frittata   di spaghetti,Pesce   spada alla siciliana,Insalata   di riso,Pasta al   forno con broccoli e pancetta,Polpette   di zucchine,Saltimbocca   alla Romana,Calamari   ripieni,Melanzane   al forno,Mozzarella   in carrozza,Pollo al   limone
6,Pesce   spada alla siciliana,Calamari   ripieni,Pasta al   forno con broccoli e pancetta,Pollo al   limone,Saltimbocca   alla Romana,Mozzarella   in carrozza,Insalata   di riso,Polpette   di zucchine,Melanzane   al forno,Frittata   di spaghetti
6,Mozzarella   in carrozza,Saltimbocca   alla Romana,Insalata   di riso,Pesce   spada alla siciliana,Frittata   di spaghetti,Pollo al   limone,Calamari   ripieni,Pasta al   forno con broccoli e pancetta,Polpette   di zucchine,Melanzane   al forno
6,Frittata   di spaghetti,Polpette   di zucchine,Melanzane   al forno,Insalata   di riso,Pesce   spada alla siciliana,Pasta al   forno con broccoli e pancetta,Mozzarella   in carrozza,Saltimbocca   alla Romana,Pollo al   limone,Calamari   ripieni
6,Melanzane   al forno,Pasta al   forno con broccoli e pancetta,Pesce   spada alla siciliana,Mozzarella   in carrozza,Pollo al   limone,Saltimbocca   alla Romana,Polpette   di zucchine,Calamari   ripieni,Insalata   di riso,Frittata   di spaghetti
6,Insalata   di riso,Polpette   di zucchine,Melanzane   al forno,Frittata   di spaghetti,Mozzarella   in carrozza,Pasta al   forno con broccoli e pancetta,Calamari   ripieni,Pollo al   limone,Pesce   spada alla siciliana,Saltimbocca   alla Romana
6,Mozzarella   in carrozza,Melanzane   al forno,Calamari   ripieni,Pasta al   forno con broccoli e pancetta,Saltimbocca   alla Romana,Pesce   spada alla siciliana,Insalata   di riso,Pollo al   limone,Polpette   di zucchine,Frittata   di spaghetti
7,Arrosto   di vitello al forno con patate,Spezzatino   di manzo,Pomodori   ripieni,Gnocchi   alla sorrentina,Polpettine   di tonno e ricotta,Zuppa di   ceci,Pollo al   limone,Torta   salata di melanzane,Cosce di   pollo al forno,Gateau   di patate
7,Gateau   di patate,Zuppa di   ceci,Pollo al   limone,Arrosto   di vitello al forno con patate,Cosce di   pollo al forno,Spezzatino   di manzo,Gnocchi   alla sorrentina,Polpettine   di tonno e ricotta,Pomodori   ripieni,Torta   salata di melanzane
7,Pomodori   ripieni,Torta   salata di melanzane,Polpettine   di tonno e ricotta,Spezzatino   di manzo,Cosce di   pollo al forno,Zuppa di   ceci,Pollo al   limone,Gnocchi   alla sorrentina,Arrosto   di vitello al forno con patate,Gateau   di patate
7,Arrosto   di vitello al forno con patate,Gnocchi   alla sorrentina,Spezzatino   di manzo,Torta   salata di melanzane,Pomodori   ripieni,Polpettine   di tonno e ricotta,Cosce di   pollo al forno,Pollo al   limone,Zuppa di   ceci,Gateau   di patate
7,Cosce di   pollo al forno,Pollo al   limone,Polpettine   di tonno e ricotta,Arrosto   di vitello al forno con patate,Gnocchi   alla sorrentina,Gateau   di patate,Spezzatino   di manzo,Pomodori   ripieni,Zuppa di   ceci,Torta   salata di melanzane
7,Gateau   di patate,Zuppa di   ceci,Pollo al   limone,Torta   salata di melanzane,Cosce di   pollo al forno,Pomodori   ripieni,Arrosto   di vitello al forno con patate,Gnocchi   alla sorrentina,Polpettine   di tonno e ricotta,Spezzatino   di manzo
7,Spezzatino   di manzo,Polpettine   di tonno e ricotta,Zuppa di   ceci,Torta   salata di melanzane,Gnocchi   alla sorrentina,Pomodori   ripieni,Pollo al   limone,Arrosto   di vitello al forno con patate,Cosce di   pollo al forno,Gateau   di patate
7,Gnocchi   alla sorrentina,Spezzatino   di manzo,Arrosto   di vitello al forno con patate,Cosce di   pollo al forno,Gateau   di patate,Pomodori   ripieni,Torta   salata di melanzane,Zuppa di   ceci,Pollo al   limone,Polpettine   di tonno e ricotta
8,Pollo al   curry,Risotto   ai funghi porcini,Cozze   gratinate,Scaloppine   al limone,Spaghetti   al tonno,Salmone   al forno,Scaloppine   ai funghi,Crocchette   di patate,Pasta   alla cenere,Cornetti   salati
8,Risotto   ai funghi porcini,Scaloppine   al limone,Crocchette   di patate,Salmone   al forno,Scaloppine   ai funghi,Pollo al   curry,Spaghetti   al tonno,Pasta   alla cenere,Cornetti   salati,Cozze   gratinate
9,Spezzatino   di manzo,Calamari   ripieni,Polpette   di carne,Spaghetti   allo scoglio,Risotto   ai funghi porcini,Pasta   con la zucca,Ossibuchi   alla milanese,Gnocco   fritto,Cornetti   salati,Pollo   alle mandorle
9,Ossibuchi   alla milanese,Spezzatino   di manzo,Pollo   alle mandorle,Polpette   di carne,Gnocco   fritto,Calamari   ripieni,Cornetti   salati,Spaghetti   allo scoglio,Pasta   con la zucca,Risotto   ai funghi porcini
9,Pollo   alle mandorle,Spezzatino   di manzo,Polpette   di carne,Pasta   con la zucca,Gnocco   fritto,Ossibuchi   alla milanese,Risotto   ai funghi porcini,Spaghetti   allo scoglio,Cornetti   salati,Calamari   ripieni
9,Spaghetti   allo scoglio,Risotto   ai funghi porcini,Calamari   ripieni,Spezzatino   di manzo,Gnocco   fritto,Pollo   alle mandorle,Ossibuchi   alla milanese,Cornetti   salati,Pasta   con la zucca,Polpette   di carne
9,Spaghetti   allo scoglio,Risotto   ai funghi porcini,Polpette   di carne,Calamari   ripieni,Pasta   con la zucca,Gnocco   fritto,Spezzatino   di manzo,Ossibuchi   alla milanese,Pollo   alle mandorle,Cornetti   salati
10,Pasta   con la zucca,Capesante   gratinate,Saltimbocca   alla Romana,Risotto   allo Zafferano,Cosce di   pollo al forno,Pollo   alla cacciatora,Ali di   pollo e patate saporite,Carbonara   di mare,Polpettine   di tonno e ricotta,Calamari   ripieni
10,Capesante   gratinate,Risotto   allo Zafferano,Calamari   ripieni,Pasta   con la zucca,Pollo   alla cacciatora,Saltimbocca   alla Romana,Ali di   pollo e patate saporite,Cosce di   pollo al forno,Carbonara   di mare,Polpettine   di tonno e ricotta
1,Fiori di zucca in pastella,Arancini,Torta salata di zucchine,Seppie con piselli,Saltimbocca alla Romana,Genovese,Couscous alle verdure,Orecchiette broccoli e salsiccia,Brasato al Barolo,Vitello tonnato
3,Pasta   con la zucca,Crocchette   di patate,Pasta e   zucchine,Mozzarella   in carrozza,Salmone   al forno,Carbonara   di mare,Seppie   con piselli,Gamberoni   al forno,Baccalà   in umido,Parmigiana   di melanzane
3,Parmigiana   di melanzane,Gamberoni   al forno,Crocchette   di patate,Salmone   al forno,Pasta e   zucchine,Mozzarella   in carrozza,Pasta   con la zucca,Baccalà   in umido,Seppie   con piselli,Carbonara   di mare
4,Parmigiana   di melanzane,Pesce   spada alla siciliana,Cannelloni,Risotto   con zucchine,Polpette   al sugo,Polpette   di zucchine,Torta   salata di melanzane,Vitello tonnato,Riso   alla cantonese,Salmone   al forno
4,Pesce   spada alla siciliana,Parmigiana   di melanzane,Cannelloni,Vitello tonnato,Polpette   di zucchine,Polpette   al sugo,Salmone   al forno,Torta   salata di melanzane,Risotto   con zucchine,Riso   alla cantonese
9,Spaghetti   allo scoglio,Spezzatino   di manzo,Gnocco   fritto,Calamari   ripieni,Polpette   di carne,Risotto   ai funghi porcini,Pollo   alle mandorle,Pasta   con la zucca,Cornetti   salati,Ossibuchi   alla milanese
